text,llm_predict_value,llm_confidence,ground_truth
The best way is to be born in Japan with Japanese parents .,40.0,0.0,60.0
"His personal physician, Dr. Conrad Murray, will almost certainly be charged in Jackson's death by the end of the year.",74.0,70.0,83.0
"In conclusion , we ask to continue striving to serve the State by "" saving "" Medicaid dollars .",60.0,0.0,77.0
they r awesome .,6.0,85.0,3.0
"NASDAQ: It's much more intensive that the stock stock (stock stock stock) app, and comes with StockTwits integration, which provides a little crowd-sources insight to go along with your stream of numbers.",25.0,65.0,27.0
"The final upgrade is in Florida, where Charlie Crist appears to be increasingly vulnerable to Marco Rubio, and where Rubio's momentum could pick up significantly if Doug Hoffman wins in NY-23 (or comes close enough to trigger a recount, etc.)",65.0,75.0,47.0
"Great way to avoid the puppy training , newspapers , chewing ... .",25.0,100.0,33.0
Why do we have all those painful feelings ?,20.0,80.0,63.0
Four of them make a full Orb .,70.0,95.0,33.0
"Senator Burt Saunders has also become involved and personally addressed a letter to you , Fed Exed on October 12th , asking your assistance in the behalf of one of his youngest constituents , Sydney Marie Ryan , to secure a medicaid status .",45.0,60.0,87.0
The chord charts show the fingering .,92.0,85.0,70.0
yes I feel the same .,30.0,70.0,30.0
We are now working with your staff in OPB on a couple of proviso issues that would be very helpful .,40.0,65.0,63.0
The value of continuing to give people some tax - supported benefits even = if they are working comes in the ripple effect .,32.0,70.0,78.0
these dogs are suppose to be guarding the house ... .,28.0,90.0,20.0
"Alongside Speidi, Audrina and the rest of the well-tanned Cali kids, Cavallari reprises the role she stepped into as a teenager on Hills precursor 'Laguna Beach': a flirtatious, manipulative man-eater, all shiny locks and come-hither stares.",30.0,0.0,33.0
"His longtime PR guru, the late Bob Jones, once told me that whatever kind of business contract Michael Jackson signed, he was instructed to announce it to the public by adding a zero.",32.0,65.0,77.0
And I would n't exactly call Iraq and Afghanistan `` harmless '' .,25.0,85.0,27.0
Do this three times and the building will collapse .,60.0,85.0,57.0
"They're selling, too.",15.0,0.0,13.0
"Madison, who counsels more than 100 severely mentally ill patients in New York, seems to have first drawn attention from the authorities at September's G-20 gathering of world leaders in Pittsburgh, Pennsylvania.",70.0,75.0,67.0
go to the local post office .,30.0,25.0,37.0
Especially with a six week visit .,60.0,45.0,37.0
Open doors with your right hand .,28.0,60.0,47.0
I be ha'in cb essa fo fy ` rin Omis .,15.0,60.0,0.0
Do not call attention to people 's mistakes .,65.0,0.0,73.0
We hope to have it on all of the PBS Stations by the end of this month .,45.0,70.0,67.0
"21NASA's Ares 1-X rocket rolls out to launch pad 39-B at the Kennedy Space Center October 20, 2009 in Cape Canaveral, Florida.",60.0,82.0,63.0
A: These previously published entries have been updated with new information in the last 24 hours.,63.0,0.0,70.0
HBIF is already considered in many private and public arenas to be an effective avenue to promote international business and are using HBIF toward that end .,60.0,70.0,83.0
Just maybe you should be running WIndows 2000 Pro .,15.0,85.0,40.0
i stopped a few meters away from it .,35.0,100.0,17.0
"If the State saves Cypress Gardens , you will not only be saving the Gardens , but you will also be giving thousands of people in that county renewed hope in man kind .",25.0,0.0,56.0
Promoter Allocco says the singer told him he had 100 ready-to-go unreleased songs.,40.0,65.0,70.0
Inertia is the force that keeps an object in Motion .,40.0,68.0,80.0
Let cool completely if frosting .,58.0,65.0,50.0
"If you do n't believe this story 's true , Ask the blind man .",28.0,100.0,27.0
When in powder form technetium will burn in oxygen .,40.0,75.0,63.0
I mean it !,0.0,0.0,7.0
"The warrant's vagueness and lack of specificity encouraged the agents to use their own discretion and their own views of the political universe to seize, or not to seize, items which they thought were evidence of a violation of the federal anti-riot statute.",82.0,65.0,77.0
"They first approached the Bronx center, which encompasses the New York City region.",58.0,62.0,67.0
We can reduce those feelings by perceiving the events in a different way .,50.0,0.0,90.0
We stayed outside of the world .,40.0,70.0,57.0
This is some heavy shit .,20.0,60.0,17.0
If they are not try this .,68.0,90.0,37.0
tell her to get off his d i ck and find her own man,8.0,0.0,0.0
its not the size its what you do with it that counts !,15.0,70.0,10.0
FYi .,70.0,95.0,8.0
Al Sharpton is a racist `` nappy headed '' extortionist .,15.0,0.0,27.0
"sounds like they have no reason to leave , do you bathe them too ? ? ? ? ?",15.0,75.0,13.0
"The police also seized mobile phones, citizen emergency kits, manuscripts, posters and even the couple's marriage license.",65.0,75.0,63.0
"Though Congressman Shaw fully supports bringing the Secretariat to Miami , he has many concerns about the issue--particularly about the organization of the campaign and the many groups involved , as well as how the money will be spent .",72.0,70.0,97.0
you probably got one that snores real bad ... ... ... .,15.0,0.0,7.0
make everyone tell her how ugly it is after she gets it done .,25.0,75.0,13.0
"At least one bullet struck her in the side, Che said.",50.0,50.0,63.0
That 's only one of many issues surrounding our election system .,28.0,70.0,67.0
"5On Sept. 10, 2009, NASA and industry engineers lit up the Utah sky with the initial full-scale, full-duration test firing of the first stage motor for the Ares I rocket.",55.0,70.0,63.0
"Do some serpentines , figure eights - not lazy 8 's !",40.0,85.0,13.0
"And, of course, he uses social media to connect as much as possible:",25.0,0.0,47.0
[RSS AAC] Add the Engadget Podcast feed (in enhanced AAC) to your RSS aggregator.,40.0,65.0,43.0
The 154-foot solid rocket motor produced heat two-thirds the temperature of the sun and its 12-foot-diameter cylinder delivered 3.6 million pounds of thrust.,75.0,70.0,67.0
And thus there is energy .,60.0,70.0,57.0
I just bought an Ashley micro suede living room suite .,20.0,70.0,43.0
Have a Happy Wedding !,15.0,70.0,33.0
Chocolate because chocolate is my favorite flavor .,12.0,65.0,33.0
The Great Door of the Great Beast . '',78.0,70.0,50.0
Erick Erickson is correct.,36.0,70.0,47.0
Buffon for goal keeping Beckham C.Ronaldo,15.0,0.0,17.0
Rebellion and defiance are pointless .,35.0,0.0,70.0
But visitor logs released by the White House on Friday show it is indeed true.,40.0,0.0,23.0
Is it about marriage or going to a wedding ?,72.0,95.0,57.0
Line 12 regular size muffin tine with paper liners .,60.0,0.0,38.0
A eulogy is what people say at your funeral .,42.0,70.0,60.0
Here we go again .,62.0,68.0,7.0
"I cut out Red Meat , and fatty foods .",15.0,0.0,43.0
The company behind its sweat-shaking athletic wear is expanding successfully in footwear.,40.0,0.0,53.0
They were just saying of different people .,68.0,85.0,30.0
Its just a natural occurrence that happens so you can have sex .,12.0,70.0,70.0
Sent from my BlackBerry Wireless Handheld ( www .,68.0,98.0,43.0
"Dinner , Again , try to eat healthy .",0.0,0.0,27.0
Wrap each log in clear or colored cellophane or any bright paper .,34.0,82.0,67.0
That's actually higher than they rate Hoffman.,20.0,65.0,40.0
to make them part of it all .,75.0,40.0,29.0
FIRST you should educate yourself .,32.0,55.0,40.0
I do n't know if this can be repaired .,32.0,0.0,46.0
"About 250,000 11th - graders were scheduled to take the TAKS.",68.0,72.0,63.0
I love my LG vx 8300,40.0,75.0,20.0
leaving a good impression on a new teacher is NEVER a bad thing .,20.0,0.0,37.0
THIS ? ?,60.0,90.0,0.0
Try to preach somewhere else please .,70.0,95.0,27.0
its good peer preasure,5.0,85.0,23.0
"I assure you , I am writing from my own experiences and the expeirenes expressed to me by others .",18.0,70.0,67.0
The base model ships with 4GB of 1066MHz PC-8500 DDR3 RAM and supplies 4 memory slots capable of expanding that up to 16GB.,68.0,72.0,53.0
Just do the math .,32.0,70.0,27.0
during the argument probably .,12.0,0.0,13.0
"On April 6, 1996, John Duncan Bulkeley died at the age of 84, and was buried with full military honors at Arlington.",85.0,80.0,70.0
"Murphy : Hallelujah , Jaffar .",20.0,0.0,20.0
Le comente a Miltin que su resume estaba muy simple .,25.0,0.0,50.0
Candidates and outside groups in New Jersey's highly contested gubernatorial race have spent nearly $37 million dollars on advertising since May.,72.0,78.0,67.0
Call the police if need be,40.0,70.0,43.0
The caps need to be put on the legal costs not the plaintiff awards .,42.0,85.0,62.0
You need your lawyer to go back and petition the court .,62.0,68.0,67.0
Grow up and then it will be serious and you can talk about it,28.0,60.0,13.0
"She 's like , `` You want onions on that ? ''",12.0,70.0,3.0
"This , I fear shall alter my perceptions for all time to pass .",50.0,65.0,63.0
"Of course, she also happened to be a woman.",25.0,0.0,43.0
Christmas a time for family and friends,25.0,65.0,33.0
It could be your waist .,50.0,100.0,37.0
"If we can provide you or your daughter additional assistance with your particular situation , please do not hesitate to contact me directly .",60.0,0.0,90.0
We can do a conference call anytime .,25.0,0.0,46.0
And what could a lawsuit mean for them?,60.0,100.0,47.0
That was a lie.,12.0,0.0,27.0
"Let the judges , juries and appellate courts decide these cases , unless you have serious reasons , that you have yet to make public , not to trust them .",68.0,65.0,67.0
He had disappeared without leaving a trace .,40.0,0.0,53.0
some that is always there for you when ever you need her ...,20.0,85.0,17.0
"Yes , I ' m a feminist .",7.0,0.0,60.0
I am reminded of the Chinese character that means crisis that contains within itself the character for opportunity .,62.0,0.0,60.0
"If you believe in liberty, and if you're rejecting tyranny, this is it.",45.0,65.0,63.0
The truth is that the truth about budgets plays almost no role in real politics.,60.0,70.0,53.0
"Obviously the holiday blend is based on Indian , as the continent , customs .",20.0,0.0,71.0
"The letter body is as written , and the signature is real , not stamped .",35.0,72.0,40.0
I feel your frustration .,20.0,85.0,37.0
Unless you have something real to talk about ... do n't call too much .,20.0,0.0,17.0
Summer Rectangle Homes : Summer homes were bigger .,20.0,70.0,33.0
"Seating will be on a first come , first served basis .",50.0,0.0,60.0
It's like riding a bicycle.,63.0,95.0,30.0
" It would be possible to inflate graduation rates and reduce your dropout rate ,  said Mr. Tobias , who is now an education professor at New York University .",75.0,0.0,92.0
Why not go with a pretty pink sherbet punch ?,40.0,25.0,40.0
here is the wikipedia http://en.wikipedia.org/wiki/Robert_Horry here is the you tube http://www.youtube.com/watch?v=xp19op8uK1E,15.0,75.0,30.0
"24The Ares 1-X test rocket lifts off on a six-minute suborbital flight from launch pad 39B at the Kennedy Space Center in Cape Canaveral, Florida, October 28, 2009.",70.0,0.0,93.0
Each attempted replacement will count toward the 15 credit hour limit .,92.0,90.0,90.0
Never sleep in them .,20.0,0.0,50.0
"This, combined with ties to an online service and the fact that this, unlike almost any other similar app, is free, make it a must-download.",25.0,0.0,30.0
the satellite time has been pushed back to 3:30 to give us a little buffer .,28.0,80.0,53.0
See previous winners of the Friday Consumerist Flickr Pool finds here.,60.0,70.0,40.0
NASA's Constellation Program's 327-foot-tall rocket produced 2.96 million pounds of thrust at liftoff and reached a speed of 100 mph in eight seconds.,85.0,0.0,53.0
"You will be satisfying the thirst , which is confused for hunger .",45.0,0.0,67.0
Its not worth the effort and cost .,12.0,70.0,43.0
I would really be interested in the major issues with each dept .,25.0,0.0,70.0
It was trying so hard to be the next great American horror film .,20.0,80.0,60.0
"Well, man, it does.",22.0,65.0,13.0
but reduce it and get exercise .,50.0,92.0,33.0
it also meas lots of love ... depends on how u mean it !,12.0,0.0,3.0
"in hiduism , there is millions of gods , lots of sects and castes .",12.0,32.0,40.0
no it means ur bed is too short,0.0,0.0,10.0
Because I do n't go lookin at other guys ... .,18.0,75.0,20.0
"And the leader of The View, Walters, made O'Reilly plug his own book after he cracked a joke about Rosie O'Donnell.",32.0,70.0,53.0
Now with a Source!,78.0,82.0,30.0
"Your population is projected to be about 300 million as the current birth rates, which are among the highest in the world, continue - 2.6 birth rate.",30.0,0.0,70.0
The rain in Spain lies manly on the plane .,25.0,60.0,70.0
I started wearing make - up in the 5th grade .,20.0,60.0,53.0
"If , in fact , the school district attempts further retaliation against any member of my family , I wish to have this letter in place for protection .",60.0,70.0,90.0
"You are right , most dogs do this for a dominance purpose .",18.0,20.0,50.0
A medical or pharmaceutical researcher .,65.0,0.0,67.0
This will allow me to spread the word about the importance of taking care of your health .,40.0,0.0,63.0
More than a fair share of these lowlifes seems to have surrounded Mike Moskowitz .,25.0,60.0,23.0
"The new 27"" iMac, along with its smaller 21.5"" partner, also sport higher quality IPS LCD screen technology, resulting in spectacular color, contrast and wide viewing angles.",48.0,65.0,50.0
I apologize for its length the night before we are to meet - but I wanted to get my thoughts on paper .,30.0,0.0,83.0
McAfee products are notorious for being difficult to remove .,40.0,85.0,57.0
A police officer found her body early the next morning in nearby woods .,60.0,0.0,60.0
When do we get a new Education Commissioner ?,72.0,60.0,57.0
"I asked for a river , he gave me an ocean .",90.0,90.0,47.0
"and so are you , so you should n't be speaking .",38.0,80.0,7.0
Yes and very confident ! ! ! ! ! ! ! ! ! ! ! ! ! !,10.0,90.0,7.0
"Then it got bad again and I said screw it, Vanity Fair article.",20.0,0.0,23.0
I am open to any of your thoughts--I would appreciate the extra 300 .,20.0,0.0,27.0
"It actually looks quite a lot like the music business model I suggested back in 2003, so it's nice to see someone making it work directly.",22.0,0.0,53.0
Google announced that it was working on this Social Search feature at the Web 2.0 Summit last week.,68.0,0.0,73.0
"8In High Bay 4 of the Vehicle Assembly Building at NASA's Kennedy Space Center in Florida, the Ares I-X upper stage simulator service module/service adapter (left, center) has been installed on a stand.",85.0,78.0,70.0
"Trance songs were included in the heroin flick , Trainspotting .",12.0,0.0,57.0
"Waugh added that his own political sources had also tipped Reinfeldt for ""displaying exactly the skills needed by a new European Council president.""",70.0,82.0,70.0
"We have just witnessed a woman, a moderate in her party, be awarded the nomination of the Republican Party, and then have it brutally snatched away from her: first by the fringe elements within the party, and then by some of the party regulars (including, ironically, Sarah Palin herself).",65.0,60.0,47.0
1898 Edwin Prescott patents the roller coaster .,40.0,25.0,53.0
try it out sometime,32.0,60.0,20.0
"I am going "" on the road "" to deliver the department 's message over the next week .",20.0,68.0,50.0
"By the way , congrats !",15.0,0.0,27.0
try restarting your PC and going to Internet explorer .,22.0,92.0,40.0
Maybe an ex - customer is suing her or something .,20.0,0.0,20.0
"As they are not human , they have no rights .",25.0,0.0,63.0
"After over eight hours use, with push email and Exchange active, WiFi and Bluetooth turned on, and plenty of use, we were still seeing 30-percent remaining charge.",45.0,60.0,53.0
Both man have many years of experience in international competition .,30.0,0.0,63.0
REAL men do n't care what colour they wear,28.0,65.0,33.0
"It is merely whole - hearted Bolshevism , under a tinsel of metaphysics .",47.0,60.0,63.0
moreover you want to go to college .,28.0,0.0,40.0
We actually do the microchipping also when they are there for spay/neuter .,30.0,50.0,50.0
"Fox News' Colby aggressively pushes ""so-called death panels"" smear",40.0,65.0,57.0
i have always been perplexed by the 18 hour bra .,12.0,65.0,43.0
Its intent is still the same as the trophies - get players to wring every last drop of value out of the game.,40.0,60.0,43.0
It's free!,20.0,0.0,20.0
Personally I think that the owners should be held responsible .,40.0,65.0,70.0
The department is overwhelmed with callers and can not answer the calls .,40.0,72.0,60.0
Those who are open to illumination .,85.0,90.0,53.0
Adam,82.0,85.0,28.0
GAWD I certainly hope so !,0.0,0.0,3.0
If He was who he said he was everything He ever said was truth .,32.0,65.0,17.0
"first , GO BUCKEYES !",28.0,0.0,3.0
Possible ideas ... Baby clothes ; Diapers ; wash cloths ; Baby powder .,20.0,0.0,40.0
This is a great outline of what we should look at in reforming tort reform for the Great State of Florida .,40.0,0.0,73.0
"China's growing addiction: online farming games - ""A new agrarian revolution has occurred in China, but only in the virtual worlds of social games.""",68.0,70.0,67.0
Previous studies provide conflicting results about the incidence and severity of lupus nephritis in patients with a history of lupus who have undergone a kidney transplant.,85.0,0.0,57.0
"Best car ever made , so I ' d say it could beat an enzo .",15.0,0.0,10.0
The answer to your final question is yes,45.0,0.0,54.0
Available from good chemists .,25.0,60.0,60.0
"And part of the subtext of the Afghanistan debate is that as a matter of bureaucratic warfare, it makes enormous sense for the currently ascendant COIN faction to try to press its advantages - to exaggerate the extent of what was achieved in Iraq in 2007, and to overstate the strategic significance of achieving some kind of comprehensive success in Afghanistan.",70.0,60.0,67.0
it 's one of the biggest holidays of the year .,6.0,65.0,27.0
This is the 3rd major incident in 3 weeks in this District .,30.0,0.0,53.0
I want this stopped now .,90.0,95.0,38.0
"Nope , mine are even different styles !",10.0,0.0,17.0
"As we noted two weeks ago, that vote was shaping up as logistical train wreck:",45.0,65.0,53.0
A heating pad may also help .,40.0,0.0,50.0
* * * * * p.s eggs are the highest quality bio ready available protein you can eat .,15.0,0.0,27.0
Juliana became queen of the Netherlands .,60.0,70.0,63.0
"If she refuses , you call social services and say she 's on run .",18.0,92.0,37.0
I love the naughty babes .,14.0,80.0,40.0
"The interim Manager , Bill Moore , has since informed Me that NO investigation into the voting irregularities of JOHN CUMMINGS will be forthcoming due to the fact that , as Mr. Moore stated , Richard Crotty will not permit any investigation into this matter to avoid the embarrassment it would cause to Orange County Government .",47.0,72.0,88.0
"256mb , plays damn near anything and is less than 200 bucks !",15.0,0.0,17.0
"God created the universe , and mankind as the pinnacle of his creation .",52.0,70.0,77.0
Lewis Edson Waterman invents the first practical fountain pen .,50.0,75.0,90.0
This is the central truth of Christianity .,72.0,40.0,67.0
Further improvements led to the introduction of Duralumin in 1909 [ 2 ] .,78.0,65.0,93.0
"So the RNC today endorsed the Conservative Party's candidate, Doug Hoffman.",25.0,0.0,70.0
"It's argued that instead of any genuine insight into politics on the ground these days, they didn't want to repeat the Tedisco mistake, judged it based upon purely out-dated male/female lines, and were going to go with a female no matter what.",30.0,60.0,73.0
can make so much money that they cover the airways with advertising .,12.0,65.0,23.0
Chuck Norris can divide by zero .,12.0,0.0,33.0
But they were n't aware that the phrase actually translates as ` Railway ' .,20.0,0.0,80.0
Chicago has about 4 too .,5.0,65.0,23.0
You ' ll never have trouble raising children after being with this lot .,20.0,0.0,33.0
"The Siena Research Institute poll shows Democrat Bill Owens and Doug Hoffman are neck-and-neck, with Scozzafava far behind.",70.0,0.0,70.0
"Do n't sell your role short---teachers like you matter in a world where today 's Cecilia story goes like this : "" Mom , Miss Summas upped and decided she 'd add 10 points to everybody 's test grade since most of the class did so poorly on it .",18.0,60.0,50.0
Remember to keep your foot size in mind when buying a board .,40.0,60.0,57.0
"I close on a hopeful note , by repeating what I said above .",23.0,90.0,67.0
End each sentence with punctuation ?,68.0,100.0,37.0
I ' d say earth .,15.0,0.0,17.0
"In these situations , actions often speak louder than words .",45.0,0.0,47.0
"Individuals with a history of lupus who receive a kidney transplant rarely develop the serious inflammatory condition lupus nephritis in their new organ, according to a paper being presented at the American Society of Nephrology's 42nd Annual Meeting and Scientific Exposition in San Diego, CA.",85.0,88.0,87.0
I am having my assistant overnight to you a packet of material regarding the Tort reform passed in Ohio .,35.0,0.0,62.0
The first Clerks was in black and white .,40.0,65.0,70.0
"Sincerly , Samantha Wimberly",60.0,0.0,73.0
read tips on treating acne and more on skincare to help you on this site,62.0,85.0,33.0
"It's become the Bartz shtick: Blast Yahoo's current malaise as unacceptable, tweak the old management and then vow to fix things - fast.",18.0,0.0,47.0
sounds hot to me,65.0,90.0,3.0
you need to take the cat to a vet .,25.0,0.0,33.0
"It is long and in draft form , but if its acceptable , I 'll clean it up and distribute it widely .",25.0,0.0,73.0
We gave him extra candy and Meade took off the mask and acted especially friendly.,25.0,0.0,50.0
"While some will attempt to portray the outcome as meaningful in the midterm contests between the parties, it's hard to see how a conservative winning in a district controlled by the Republicans for over a century will say much of anything - except that the GOP's activists who were annoyed by the nomination of a Republican who some viewed as more liberal than the Democrat in the race will be able to say that their party's values were upheld in the district.",55.0,60.0,57.0
"Vice President Gore , who has been with the Clinton administration for more than six years , has not separated himself from the views of the administration , which has waged the most vicious war on medical marijuana users of any presidential administration .",70.0,65.0,92.0
There should n't be any side effects .,20.0,0.0,37.0
"get away , far away",12.0,65.0,10.0
We love it .,2.0,0.0,30.0
But is it a lie if you fooled yourself into believing it ?,20.0,60.0,43.0
"I am writing in support of the "" Early Child Representation "" Program recently approved by the legislature for Voices For Children Foundation ( VFCF ) .",70.0,65.0,97.0
BlackBerry.net ),68.0,0.0,58.0
You are right .,40.0,0.0,70.0
Seems like an Italian word for peppercon .,48.0,88.0,43.0
I hope you are like 5 or something .,10.0,0.0,7.0
chunky and the coon tails,12.0,70.0,0.0
Clio - us f. [ the Muse of history ] .,90.0,90.0,60.0
" Jeb Bush  < jeb@jeb.org > To : Kathleen Kearney/D20/DCF@DCF , Larry Pintacuda/D20/DCF@DCF 06/11/02 04:51 PM cc :",60.0,0.0,46.0
"Secondly , why are you trying to turn spirituality into a racial controversy ?",25.0,70.0,67.0
I would n't do anything to risk the health of my child .,25.0,60.0,50.0
Here's a post for a relatively slow Friday afternoon: two ads for Bing that vaguely tie in with Halloween.,25.0,80.0,37.0
a rubix cube and some leg warmers,15.0,50.0,20.0
"New Jersey-based concert promoter Patrick Allocco of AllGood Entertainment, a man who had direct dealings with Michael Jackson, says, ""Anything you could put Michael Jackson's image on was already being offered the minute he made that announcement in London. T-shirts, coffee mugs, key fobs, glasses - there was even a little doggie carrier for sale.""",72.0,75.0,40.0
"By being a lead investor in these projects , Golden LEAF will leverage an estimated $ 150 million to $ 200 million in total investments in new and emerging companies in the life sciences .",72.0,65.0,90.0
Pregnancy does affect eye sight .,30.0,0.0,53.0
You know that the FCAT is not a bubble test .,52.0,70.0,46.0
Who are your friends ?,25.0,0.0,50.0
That means two adults who agree to something .,25.0,75.0,60.0
U should try the cheat - code site there will u find lots of cheat .,12.0,0.0,3.0
"But the political argument against focusing on the deficit is even stronger than he realizes - because there are very good odds that even if Obama exhibited iron fiscal discipline, voters wouldn't notice.",62.0,65.0,67.0
There 's a ton of ignorant people out there .,15.0,70.0,30.0
"Extrapolating from the morning's Siena poll, that would produce a result of Hoffman 43, Owens 42, Scozzafava 5, with 10 percent of the voters still up for grabs.",75.0,0.0,77.0
"Last year Miami - Dade County had an estimated 1,500 admissions for Sickle Cell patients and these patients spent 12,000 days in the hospital .",70.0,70.0,79.0
"This year, she dressed as Whore-othy from The Wizard of Valtrex, and forced her burrito heir boyfriend, Doug Reinhardt, to wear the same shit.",12.0,70.0,37.0
Hybrid media packaging with both files and an application layer in the cloud is core to a lucrative future.,70.0,75.0,57.0
Among the three most closely watched off-season elections - including an open governor's race in Virginia that the Democrats apparently are poised to lose despite the efforts of President Barack Obama there - none is more peculiar than the contest in New York State's remote and farflung 23rd Congressional District.,80.0,0.0,70.0
"Yes , but that does n't make it rule any less .",15.0,0.0,23.0
At some point we are no longer rendering assistance but colonizing them militarily .,42.0,75.0,50.0
It will only lead to trouble .,20.0,0.0,37.0
I would make sure he has regular potassium checks on his blood .,38.0,65.0,67.0
These companies will provide jobs and increase the tax base for state and local governments .,60.0,0.0,80.0
DO I NEED TO ASK MY MOM AND DAD ABOUT THIS ? ?,8.0,0.0,23.0
The other person will appreciate your interest - especially in a large crowd .,42.0,70.0,57.0
Now on to the business of the State and County .,72.0,92.0,58.0
She ' ll need it .,25.0,65.0,40.0
20The driver of the crawler-transporter slowly maneuvers the huge vehicle under the mobile launcher platform holding the 327-foot-tall Ares I-X rocket at NASA's Kennedy Space Center in Florida.,75.0,60.0,83.0
Kenny ... `` You killed Kenny ... You B_Tard ! ! ! '',8.0,90.0,17.0
It will look pretty but natural .,75.0,0.0,57.0
"It seems to me that everybody wants to take away patients rights , rather than focus on the real problem .",25.0,70.0,46.0
The reaction from feminist women when told to quit whining?,25.0,70.0,30.0
I ca n't remember the name of it .,65.0,100.0,20.0
"Nevada and Mississippi are at the bottom of the list, except for the non-state of the District of Columbia where only 43 percent believe their wallets would be returned.",52.0,65.0,57.0
"Look into Cica - Care , which is < < a unique product for improving scars .",42.0,68.0,43.0
This is exactly what liberal critiques of reform do not predict .,45.0,100.0,70.0
Check with your doctor before starting any weight loss program .,65.0,0.0,70.0
My wife and I think that you are doing a remarkable job and pray that it continues as you are faced with some major decisions .,50.0,75.0,50.0
"Though the immense scale of the investment was clear during the President's announcement, the flood of reports from news outlets across the country has been overwhelming.",70.0,65.0,73.0
"Metallica , WASP , Dio , Iron Maiden , Judas Priest",25.0,85.0,20.0
I think you are very talented .,20.0,70.0,53.0
The sheet cake was only going to be about $ 50 .,25.0,0.0,63.0
I would recommend this to anyone,20.0,50.0,57.0
Any new route would be north and west of the original plan .,50.0,0.0,63.0
Pretty Ricky because they have pretty voices,12.0,0.0,10.0
There is a soul .,40.0,0.0,50.0
We will be briefing Wayne McDaniel on Wednesday of next week .,65.0,0.0,73.0
"A documented record of success in administration , worker 's compensation insurance , teaching and on - shore management of an offshore captive corporation , * Director of Claims Management , Mercy Hospital 1997-1999 .",60.0,70.0,92.0
she actually used her head for once .,25.0,0.0,13.0
Here We Go .,18.0,75.0,40.0
"Another upgrade comes in Pennsylvania, where there's been some further polling to suggest the degree of trouble that Arlen Specter is in.",58.0,72.0,83.0
We request that you vote against the expansion of the existing church facility known as Cape Coral Community Church and the additional three proposals and phases being requested .,66.0,70.0,90.0
The rest is history .,25.0,70.0,47.0
The donations were just beyond anyone's imagination.,50.0,0.0,60.0
Haley Nicole sounds beautiful !,15.0,0.0,40.0
major mistake 3 : finding the elephant garlic is NOT irrelevant .,28.0,70.0,17.0
"Gateway Pundit: Clinton ""[a]dmits"" ""that the democrats tax everything that moves.""",20.0,12.0,60.0
He was not in volved in the crime amd needs someone to read the court transcripts ?,12.0,85.0,53.0
Well u shouldve told her parents if u were a true friend ! ! !,15.0,80.0,3.0
Dogs do have feelings .,30.0,60.0,47.0
It 's about 15.00 for a squirt behind the neck .,20.0,72.0,40.0
Supplements like evening primrose can also help .,40.0,0.0,50.0
;) Just play with baby .,12.0,70.0,3.0
Varies from individual to individual .,85.0,68.0,63.0
C'mon down !,12.0,70.0,0.0
The present is all there is .,72.0,70.0,53.0
"They're not buying an album, raving about it, and losing interest after a few months, they're constantly spreading my name to their Twitter followers, coworkers, pets, etc.",32.0,60.0,40.0
take the battery out and let it dry out for a day or two .,22.0,70.0,53.0
I hope this helps your project .,70.0,95.0,57.0
How about a nice study bible with a nice cover .,20.0,0.0,33.0
They helped one of my uncles die NATURALLY in New Jersey .,20.0,60.0,12.0
Rutgers lost the national championship .,50.0,0.0,73.0
Its an overcrowded bus .,12.0,0.0,23.0
Swiss Army for me !,12.0,70.0,17.0
they r realy stupid .,12.0,0.0,0.0
# All roads lead to Chuck Norris .,85.0,100.0,12.0
The other thing you could try is cutting your toe - nails .,25.0,0.0,46.0
God and His Goodness is more powerful than any one man on this earth and these sweet people need to know that .,35.0,70.0,42.0
"The 2017 budget deficit or the potential economic impact of a manufacturing plant closure in Georgia is not the kind of thing a lieutenant, captain, or major serving in the field is going to think about.",60.0,0.0,53.0
And a little robot keychain michele gave me .,15.0,0.0,20.0
Thanks for listening .,72.0,87.0,37.0
To those who support me - and to those who choose not to - I offer my sincerest thanks.,72.0,70.0,43.0
I agree with Ann O !,52.0,70.0,30.0
"If drugs policy, why not also tax policy?",70.0,90.0,43.0
lust is healthier than love,12.0,60.0,23.0
"There 's nothing wrong with a profit , but THIS is ridiculous !",15.0,50.0,33.0
"Dog food contains plant - derived nutrients too , and it 's important they get these .",25.0,70.0,83.0
The case of Stephanie proves how ineffable charisma and crowd appeal really are .,65.0,60.0,93.0
Penguins > devils : P,35.0,50.0,7.0
Conseco Fieldhouse for Pacers,78.0,85.0,42.0
"I am a Florida actor , and this is an important issue .",22.0,65.0,50.0
The police called from the town he was working in .,40.0,0.0,43.0
"Foot stomping, personal and often - ironically enough - sexualized attacks, and more whining.",20.0,60.0,27.0
"This legislation would make it very difficult for injured consumers and the families of many sick and injured children to sue and obtain adequate compensation from the companies responsible for causing their injuries , destroying yet another safety net for many vulnerable children and families .",65.0,70.0,80.0
I probably unlike the vast majority of your constituants have been to Europe and I did not claim anything with customs when I returned because I could not afford to spend up to the limit much less exceed it by such an amount .,30.0,50.0,77.0
Governor - I hope the original of this letter made its way to your desk .,78.0,20.0,70.0
The ones that are taken ... er ... yeah that 's a good answer .,12.0,0.0,20.0
Read,78.0,25.0,7.0
The American people do not need more symbolism.,55.0,0.0,63.0
Some just do n't have film .,45.0,85.0,27.0
That will catch keyloggers .,68.0,85.0,33.0
Happy Halloween.,65.0,68.0,13.0
I am proud of the response at the local and state level .,58.0,0.0,75.0
